web-scraper-order,web-scraper-start-url,name,rating
"1614874295-33","https://www.rappi.com.mx/restaurantes/category/pizza","Jaguar Azul","null"
"1614874295-3","https://www.rappi.com.mx/restaurantes/category/pizza","Diktatur","5"
"1614874295-23","https://www.rappi.com.mx/restaurantes/category/pizza","Abbiocco","null"
"1614874295-39","https://www.rappi.com.mx/restaurantes/category/pizza","Sofía Pizzería","null"
"1614874295-40","https://www.rappi.com.mx/restaurantes/category/pizza","La Piccola Trattoria","null"
"1614874295-16","https://www.rappi.com.mx/restaurantes/category/pizza","College Bar","null"
"1614874295-37","https://www.rappi.com.mx/restaurantes/category/pizza","Quiz Pizza","null"
"1614874295-22","https://www.rappi.com.mx/restaurantes/category/pizza","Corleone Pizza","null"
"1614874295-34","https://www.rappi.com.mx/restaurantes/category/pizza","La Gabella","null"
"1614874295-21","https://www.rappi.com.mx/restaurantes/category/pizza","Lucio Cucina","null"
"1614874295-11","https://www.rappi.com.mx/restaurantes/category/pizza","La Piccola Italia","null"
"1614874295-10","https://www.rappi.com.mx/restaurantes/category/pizza","La Patrona QRO","4.4"
"1614874295-7","https://www.rappi.com.mx/restaurantes/category/pizza","Stromboli Pizza","null"
"1614874295-32","https://www.rappi.com.mx/restaurantes/category/pizza","Di Vino Italian Restaurant","null"
"1614874295-36","https://www.rappi.com.mx/restaurantes/category/pizza","Raffaelos Pizzería","null"
"1614874295-28","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza N' Wings","null"
"1614874295-35","https://www.rappi.com.mx/restaurantes/category/pizza","Domino's Pizza","null"
"1614874295-24","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeria Ricum Di Vendi","null"
"1614874295-13","https://www.rappi.com.mx/restaurantes/category/pizza","Asadero GranD","null"
"1614874295-26","https://www.rappi.com.mx/restaurantes/category/pizza","Piu Pizza","null"
"1614874295-19","https://www.rappi.com.mx/restaurantes/category/pizza","Brutus Pizza","4.8"
"1614874295-17","https://www.rappi.com.mx/restaurantes/category/pizza","Fiume 37","null"
"1614874295-27","https://www.rappi.com.mx/restaurantes/category/pizza","Che Chelas","null"
"1614874295-1","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeta","4.7"
"1614874295-6","https://www.rappi.com.mx/restaurantes/category/pizza","Cheese Up","null"
"1614874295-38","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Tec","null"
"1614874295-8","https://www.rappi.com.mx/restaurantes/category/pizza","Dio Pizza","null"
"1614874295-9","https://www.rappi.com.mx/restaurantes/category/pizza","Ketomorfosis By Cosecha Propia Mx","null"
"1614874295-25","https://www.rappi.com.mx/restaurantes/category/pizza","Promo Pizza","null"
"1614874295-15","https://www.rappi.com.mx/restaurantes/category/pizza","Ké-Chelas","null"
"1614874295-2","https://www.rappi.com.mx/restaurantes/category/pizza","Santa Fortuna","null"
"1614874295-31","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Francia","null"
"1614874295-20","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Pop","null"
"1614874295-5","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Ragazzo","null"
"1614874295-4","https://www.rappi.com.mx/restaurantes/category/pizza","Dio Pizza.","null"
"1614874295-29","https://www.rappi.com.mx/restaurantes/category/pizza","Crécola","4.7"
"1614874295-18","https://www.rappi.com.mx/restaurantes/category/pizza","Güero's Pizza","null"
"1614874295-14","https://www.rappi.com.mx/restaurantes/category/pizza","Bruno","4.5"
"1614874295-30","https://www.rappi.com.mx/restaurantes/category/pizza","Zapata Pizza","4.5"
"1614874295-12","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Hut","4.5"
